id;value_request;source_info;value_response;source_channel
1;transmitter;archive Practical Gloves;Networked Shirt;WEB
2;withdrawal Executive;Rubber;markets generate Salvador;WEB
3;optical Realigned Morocco;Internal International;turquoise Forward;WEB
4;niches Singapore Home;monitor;incentivize;WEB
5;Small Ball user-facing;system;Cotton Consultant Avon;WHATSAPP
6;Licensed;Licensed;Usability Forint;TELEGRAM
7;ubiquitous matrix;card Montana;Card;WHATSAPP
8;yellow;deposit Executive Personal;Investor;WEB
9;Cambridgeshire;USB;web-enabled payment;TELEGRAM
10;Industrial;background;transmitter COM;WEB
