id;value;source_channel;creation_date;ip;postion_x;postion_y;source_info
1;zero;WEB;2023-05-19T22:12:13;Assurance;47891;12366;Intelligent
2;US;WEB;2023-05-20T14:45:29;neural;47747;14940;Garden
3;experiences hack Triple-buffered;WEB;2023-05-20T15:17:41;Chief streamline;57833;89978;Home content-based eco-centric
4;installation;TELEGRAM;2023-05-20T04:53:24;Alabama;50178;33123;Games
5;magenta indexing;TELEGRAM;2023-05-20T19:52:13;Concrete tangible Cambridgeshire;14053;75576;Account
6;Home Lesotho Cambridgeshire;WEB;2023-05-20T05:39:54;Money;29603;60663;functionalities Buckinghamshire primary
7;AGP Networked;TELEGRAM;2023-05-20T03:03:03;Computer;76947;58936;pixel Kids Gorgeous
8;Fresh mobile;WHATSAPP;2023-05-20T02:52:47;ROI Krone middleware;8095;18390;Operations payment Consultant
9;Account;TELEGRAM;2023-05-20T18:30:29;Sports;95218;2227;Coordinator Investor ROI
10;synthesizing hacking;WEB;2023-05-20T07:29:47;Front-line Card;20238;38512;SMTP bleeding-edge
